TRINITY_DN0_c12_g1	GO:0003674,GO:0005085,GO:0007165,GO:0008150,GO:0009987,GO:0050789,GO:0050794,GO:0065007,GO:0098772
TRINITY_DN10094_c0_g1	GO:0003674,GO:0003676,GO:0003723,GO:0003725,GO:0005488,GO:0097159,GO:1901363
TRINITY_DN100957_c0_g1	GO:0003674,GO:0003824,GO:0004175,GO:0004252,GO:0005488,GO:0005515,GO:0005575,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0016020,GO:0016787,GO:0017171,GO:0019538,GO:0043170,GO:0044238,GO:0070011,GO:0071704,GO:1901564
TRINITY_DN10106_c0_g1	GO:0003674,GO:0004871,GO:0004872,GO:0004888,GO:0004930,GO:0005575,GO:0007165,GO:0007186,GO:0008150,GO:0009987,GO:0016021,GO:0031224,GO:0038023,GO:0044425,GO:0050789,GO:0050794,GO:0060089,GO:0065007,GO:0099600
TRINITY_DN101078_c0_g1	GO:0003674,GO:0005488,GO:0005515,GO:0008270,GO:0043167,GO:0043169,GO:0046872,GO:0046914
TRINITY_DN10107_c0_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN101091_c1_g1	GO:0003674,GO:0005215,GO:0005575,GO:0006810,GO:0008150,GO:0016020,GO:0022857,GO:0051179,GO:0051234,GO:0055085
TRINITY_DN1010_c24_g1	GO:0000166,GO:0003674,GO:0003824,GO:0004672,GO:0005488,GO:0005524,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564
TRINITY_DN1010_c69_g1	GO:0000988,GO:0000989,GO:0003674,GO:0003712,GO:0005575,GO:0006355,GO:0006357,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0016592,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0032991,GO:0043234,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:1903506,GO:2000112,GO:2001141
TRINITY_DN10110_c1_g1	GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005634,GO:0005694,GO:0006325,GO:0006355,GO:0006464,GO:0006479,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008213,GO:0008276,GO:0008757,GO:0009889,GO:0009987,GO:0010468,GO:0010556,GO:0016043,GO:0016278,GO:0016279,GO:0016569,GO:0016570,GO:0016571,GO:0016740,GO:0016741,GO:0018022,GO:0018024,GO:0018193,GO:0018205,GO:0019219,GO:0019222,GO:0019538,GO:0031323,GO:0031326,GO:0032259,GO:0034968,GO:0036211,GO:0042054,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0071840,GO:0080090,GO:1901564,GO:1903506,GO:2000112,GO:2001141
TRINITY_DN101115_c0_g1	GO:0003674,GO:0005488,GO:0005509,GO:0043167,GO:0043169,GO:0046872
TRINITY_DN10111_c0_g1	GO:0003674,GO:0003824,GO:0008168,GO:0016740,GO:0016741
TRINITY_DN10114_c1_g1	GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003682,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005634,GO:0006325,GO:0006338,GO:0008150,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0030554,GO:0031491,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042623,GO:0043044,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0044877,GO:0070615,GO:0071840,GO:0097159,GO:0097367,GO:1901265,GO:1901363
TRINITY_DN10114_c1_g2	GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003682,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005634,GO:0006325,GO:0006338,GO:0008150,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0030554,GO:0031491,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042623,GO:0043044,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0044877,GO:0070615,GO:0071840,GO:0097159,GO:0097367,GO:1901265,GO:1901363
TRINITY_DN1011_c0_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN1011_c12_g1	GO:0001071,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:1901363,GO:1903506,GO:2000112,GO:2001141
TRINITY_DN10127_c0_g1	GO:0003674,GO:0005102,GO:0005488,GO:0005515
TRINITY_DN10128_c1_g1	GO:0003674,GO:0003824,GO:0016740,GO:0016746,GO:0046912
TRINITY_DN101293_c0_g1	GO:0000166,GO:0003674,GO:0003774,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0016459,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043234,GO:0044422,GO:0044424,GO:0044430,GO:0044446,GO:0044464,GO:0097159,GO:0097367,GO:1901265,GO:1901363
TRINITY_DN1012_c0_g1	GO:0000166,GO:0003674,GO:0003824,GO:0004672,GO:0005488,GO:0005524,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564
TRINITY_DN1012_c1_g1	GO:0001071,GO:0003674,GO:0003700,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:1903506,GO:2000112,GO:2001141
TRINITY_DN101313_c0_g1	GO:0003674,GO:0003824,GO:0004064,GO:0016787,GO:0016788,GO:0052689
TRINITY_DN101337_c0_g1	GO:0005575,GO:0005576,GO:0007275,GO:0008150,GO:0009966,GO:0009968,GO:0010646,GO:0010648,GO:0023051,GO:0023057,GO:0030111,GO:0030178,GO:0032501,GO:0032502,GO:0044699,GO:0044707,GO:0044767,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0048856,GO:0050789,GO:0050794,GO:0065007
TRINITY_DN10133_c0_g1	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0097159,GO:0097367,GO:1901265,GO:1901363
TRINITY_DN10136_c0_g1	GO:0003674,GO:0005488,GO:0043167,GO:0043169,GO:0046872
TRINITY_DN1014_c0_g1	GO:0003674,GO:0005488,GO:0005515,GO:0046983
TRINITY_DN10151_c3_g1	GO:0005575,GO:0005737,GO:0044424,GO:0044464
TRINITY_DN101532_c0_g1	GO:0005575,GO:0006139,GO:0006325,GO:0006354,GO:0006368,GO:0006464,GO:0006725,GO:0006807,GO:0008023,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016043,GO:0016070,GO:0016569,GO:0016570,GO:0016593,GO:0018130,GO:0019438,GO:0019538,GO:0032774,GO:0032991,GO:0034641,GO:0034654,GO:0036211,GO:0043170,GO:0043234,GO:0043412,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:1901360,GO:1901362,GO:1901564,GO:1901576
TRINITY_DN10157_c10_g1	GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0006139,GO:0006259,GO:0006310,GO:0006313,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0015074,GO:0032196,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044699,GO:0044710,GO:0044763,GO:0046483,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363
TRINITY_DN10158_c1_g1	GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0006139,GO:0006259,GO:0006310,GO:0006313,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0015074,GO:0032196,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044699,GO:0044710,GO:0044763,GO:0046483,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363
TRINITY_DN10159_c0_g1	GO:0003674,GO:0003824,GO:0005575,GO:0006464,GO:0006486,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016740,GO:0016757,GO:0016758,GO:0019538,GO:0036211,GO:0043170,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044699,GO:0044710,GO:0044763,GO:0070085,GO:0071704,GO:1901564
TRINITY_DN1015_c0_g1	GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0019843,GO:0097159,GO:1901363
TRINITY_DN101610_c0_g1	GO:0003674,GO:0005488,GO:0005515,GO:0007165,GO:0008150,GO:0009987,GO:0050789,GO:0050794,GO:0065007
TRINITY_DN10162_c0_g1	GO:0008150,GO:0008152,GO:0009987,GO:0044237
TRINITY_DN101636_c0_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN101647_c0_g1	GO:0003674,GO:0003824,GO:0004175,GO:0004222,GO:0005575,GO:0006508,GO:0006807,GO:0007155,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0016020,GO:0016787,GO:0019538,GO:0022610,GO:0043170,GO:0044238,GO:0070011,GO:0071704,GO:1901564
TRINITY_DN10164_c6_g1	GO:0003674,GO:0005488,GO:0005515,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0046983,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:1903506,GO:2000112,GO:2001141
TRINITY_DN10165_c1_g1	GO:0003674,GO:0005488,GO:0043167,GO:0043169,GO:0046872
TRINITY_DN10166_c3_g1	GO:0000413,GO:0003674,GO:0003755,GO:0003824,GO:0005488,GO:0005515,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016853,GO:0016859,GO:0018193,GO:0018208,GO:0019538,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704,GO:1901564
